tree number,DBH (cm),Plot (Control/Removal/Neither),notes
800,33.8,Removal ,5 trunks
801,4.1,Removal,
802,7.7,Removal,2 trunks
803,3.3,Removal,
804,2.8,Removal,
805,5.8,Removal,
806,6.8,Removal (Allometry),
807,4.5,Removal (Allometry),
808,6.1,Removal (Allometry),
809,3.6,Removal,
810,12.4,Removal,
811,4,Removal (Allometry),
812,12.6,Removal ,2 trunks
813,26.7,Removal,2 trunks
814,10,Removal,
815,31.2,Removal,2 trunks
816,9.4,Removal,
817,5.8,Removal,
818,13,Control,
819,9.1,Removal,
820,7,Removal,
821,8.4,Removal,
822,8.8,Removal,
823,10.5,Removal,
824,10.5,Control,2 trunks
825,7.4,Control,
826,6.5,Removal,
827,3.7,Removal,
828,3.2,Removal,
829,4.8,Removal,
830,4,Removal,
831,4.7,Control,
832,5,Removal,
833,7,Removal,2 trunks
834,13.6,Control,
835,35.2,Removal,4 trunks
836,5.3,Removal,
837,3.3,Removal,
838,8.9,Control,
839,7.4,Control,
840,6.3,Control,
841,5.4,Control,
842,3.5,Control,
843,14.1,Control,
844,9.2,Control,
845,3.9,Control,
846,3.3,Control,
847,9.2,Control,
848,2.8,Control,
849,15.9,Control,
850,4.2,Control,
851,10.7,Control,
852,9,Control,
853,9.2,Control,
854,6.1,Removal (Allometry),
855,7.3,Control,
856,18.2,Control,
857,6.4,Control,
858,9.9,Control,2 trunks
859,6.4,Control,
860,11.3,Control,
861,12.1,Control,2 trunks alive 2 dead
862,19.5,Control,2 trunks alive 2 dead
863,4.7,Control,Sensor
864,6.5,Removal,
865,13,Control,
866,6.9,Removal,
867,9,Removal,
868,14.4,Control,Sensor
869,4.5,Removal (Allometry),
870,6.1,Control,
871,19,Control,
872,4.4,Removal,
873,16.5,Control,Sensor
874,31.9,Removal,5 trunks alive 2 dead
875,6.8,Control,2 trunks
876,11,Control,Paired with Ash
877,12.7,Control,
878,23.1,Control,
879,16.6,Removal,
880,3.3,Removal,
881,19,Removal,3 limbs
882,7.6,Removal (Allometry),
883,9,Removal,
884,4.8,Removal (Allometry),
885,5.1,Removal,
886,4.6,Removal,
887,64.7,Removal,2 limbs
888,4.5,Removal,2 limbs
889,14.2,Removal,with giant vine may want to divide by 2
890,27.9,Removal,
891,21.3,Removal,
892,7.6,Removal,
893,29.2,Removal,"Base broken in half, one limb growing well"
894,26.4,Neither,
895,12.1,Control,
896,8,Neither,
897,6.7,Neither,
898,4.4,Neither,
899,12.2,Neither,
900,45.3,Neither,4 trunks
901,5,neither,
902,4.3,Neither,
903,2.7,Neither,
904,2.7,Neither,
905,25,Neither,3 trunks
906,3.8,Control,
907,2.7,Neither,
908,2.9,Neither,
909,16.5,Neither,
910,3,Neither,
911,29.1,Neither,
912,18.8,Neither,
913,14.7,Neither,
914,11.5,Neither,2 conjoined branches
915,2.8,Neither (Allometry),
916,29.9,Neither,
917,4.5,Neither,
918,5.2,Neither,
919,8,Neither,
920,94.3,Neither,"3 trunks dead, 5 alive"
921,34.8,Neither,"2 trunks dead, 3 alive"
922,21.9,Neither,
923,3,Neither,
924,6.3,Neither,
925,20.5,Neither,
926,11.8,Neither,1 dead branch
927,38.1,Neither,
928,5.7,Neither,
929,41.8,Neither,
930,40.2,Neither,2 trunks
931,37.8,Neither,4 trunks
932,4.3,Neither,
933,8.4,Neither,
934,29,Neither,
935,9.7,Neither,
936,5.7,Neither,
937,8,Neither,
938,6.8,Neither,
939,9.8,Neither,
940,11.8,Neither,
941,7.2,Neither,
942,4.9,Neither,
943,5.2,Neither,
944,6.2,Neither,
945,4.6,Neither,
946,2.6,Neither (Allometry),
947,5.6,Neither,
948,9.2,Neither,
949,5.4,Neither,
950,3.5,Neither,
951,3.3,Neither,
952,4.2,Neither,
953,3.9,Neither,
954,5.6,Neither,2 trunks
955,6.4,Neither,2 trunks
956,17.6,Neither,2 trunks
957,27,Neither,
958,3.7,Neither,
959,4,Neither,
960,3,Neither,
961,10.3,Neither,2 trunks
962,16,Neither,
963,6.6,Neither,
964,8.6,Neither,
965,16.7,Neither,
966,5.7,Neither,
