Tree Number,,Total Height (feet),Sapwood Volume (ft^3),DBH (inches)
1,,61,19.89,20.7
2,,62,37.9,24.3
3,,62,35.3,22.4
4,,,0.5,6.5
5,,55,44.5,30.1
6,,50,54.1,21.3
7,,62,31,22.1
8,,52,24.1,19
9,,39,8.6,11.4
10,,40,13.4,11.8
11,,27,15.1,13
12,,25,13.5,15.3
13,,41,16.7,13
14,,69,52.4,25.9
15,,,30.4,17.2
16,,49,11.4,19.1
17,,73,40.8,33
18,,48,3.4,8.3
19,,36,0.8,6
20,,26,3.1,5.4
21,,18,0.8,3
22,,19.5,0.9,5.7
23,,27,3.7,7.8
24,,29,5,8.5
25,,19,0.64,3.7
26,,63,25.3,26
27,,35,4.35,9.5
28,,25,1.51,4.7
29,,21,0.96,4
30,,25,1.34,4.5
31,,26,1.55,4.8
32,,25,1.23,4.4
33,,22,0.82,3.9
34,,79,67.6,30.3
35,,88,52.34,26.9
36,,80,28.1,27
38,,32,4.73,6
39,,30,7.18,9.6
40,,33,13.1,8.8
41,,33,11.35,6.5
